Name,Date Of Birth,Country,Number_400m,Number_first_50m,Number_second_50m,Number_third_50m,Number_fourth_50m,Number_fifth_50m,Number_sixth_50m,Number_seventh_50m,gender,Stroke
"GIRERD, Mathis",2005,FRA,04:35.4,29.05,33.86,35.59,35.96,35.8,36.23,35.83,m,Freestyle
"DEFOIS-PERNOT, Oscar",2008,FRA,04:38.0,30.96,34.73,35.33,35.86,35.3,35.89,35.43,m,Freestyle
"ROUX, Mael",2008,FRA,04:42.0,31.02,34.64,35.83,36.46,36.37,36.68,35.98,m,Freestyle
"PUYRAIMOND, Natan",2006,FRA,04:42.1,30.72,34.92,35.82,36.57,36.2,37.24,37.33,m,Freestyle
"LE BAIL, Tom",2007,FRA,04:42.8,31.58,34.77,35.85,35.89,36.27,36.37,37.17,m,Freestyle
"LAUREAU, Charly",2007,FRA,04:43.7,31.86,35.05,36,36.18,36.28,37.07,36.16,m,Freestyle
"LAFFAGE, Nicolas",2004,FRA,04:44.4,30.69,34.88,35.68,36.85,36.29,36.94,37.08,m,Freestyle
"COURAUD, Victor",2006,FRA,04:45.8,30.42,34.66,36.31,36.74,37.17,37.14,37.43,m,Freestyle
"BRUCKERT, Alois",2006,FRA,04:46.4,31.14,35.1,35.52,36.47,36.78,37.38,37.15,m,Freestyle
"PETREMENT, Thomas",2008,FRA,04:48.2,31.66,35.02,36.91,37.69,38.51,37.16,37.4,m,Freestyle
"BOUCHY, Noa",2007,FRA,04:48.5,33.77,35.84,37.41,36.72,37.03,36.97,37,m,Freestyle
"MOUHIB, Yahya",2002,MAR,04:48.7,31.75,36.43,36.72,37.52,36.46,38.61,35.73,m,Freestyle
"DA COSTA, Sacha",2007,FRA,04:52.1,32.58,35.66,36.94,37.44,37.76,38.23,36.81,m,Freestyle
"LIOTIER, Aaron",2008,FRA,04:53.2,33.07,37.77,38.05,37.32,36.31,38.2,38.09,m,Freestyle
"PERRIOT-COMTE, Nathan",2008,FRA,04:53.4,33.44,36.42,36.86,37.37,37.14,37.37,37.54,m,Freestyle
"HUBNER, Martin",2006,FRA,04:54.5,33.41,36.26,37.64,37.2,37.74,37.57,38.1,m,Freestyle
"RAVINET, Yann",2004,FRA,04:55.0,32.65,35.84,37.15,38.36,37.88,38.2,37.98,m,Freestyle
"CHAMPMARTIN, Youri",2008,FRA,04:55.1,33.9,37.37,37.35,37.57,38.07,37.81,37.69,m,Freestyle
"BELKENTAOUI, Elyas",2005,FRA,04:55.3,31.85,34.82,37.8,38.57,38.61,38.69,38.93,m,Freestyle
"GARNIER, Mathis",2008,FRA,04:57.0,33.42,37,38.58,37.79,38.53,38.17,37.49,m,Freestyle
"DEFONTAINE, Malo",2006,FRA,05:01.1,32.38,36.35,37.08,38.61,38.52,41.12,40.35,m,Freestyle
"MEFTAH SAOUES--POULOT, Loris",2008,FRA,05:01.3,32,34.96,37.39,39.12,40.72,40.49,38.98,m,Freestyle
"GIRERD, Hugo",2008,FRA,05:01.5,32.29,37.02,38.58,39.16,39.03,39.9,38.2,m,Freestyle
"BEAUJON, Cyril",2008,FRA,05:01.9,33.32,36.59,38.42,38.27,40.07,38.77,39.39,m,Freestyle
"SERIN, Timothee",2007,FRA,05:03.0,33.2,37.53,38.38,39.09,38.73,39.55,38.69,m,Freestyle
"SOUMAHORO, Inza",2008,FRA,05:03.9,31.83,36.87,38.51,39.18,39.84,39.16,39.89,m,Freestyle
"VAUTRIN, Lilian",2007,FRA,05:05.1,32.21,36.46,37.88,39.1,40.3,39.66,40.58,m,Freestyle
"COLSON, Celio",2007,FRA,05:11.5,33.95,38.13,40.4,39.9,39.77,40.86,40.28,m,Freestyle
"OUDOT, Albert",2007,FRA,05:11.7,32.14,37.2,39.02,40.34,40.81,41.37,41.39,m,Freestyle
"MASSOTTE, Louis",2007,FRA,05:13.0,34.22,39.68,39.44,40.03,39.48,38.87,40.85,m,Freestyle
"CINI, Theo",2009,FRA,05:16.7,33.75,38.66,39.74,41.35,41.04,41.89,41.07,m,Freestyle
"BARON, Jean-Mathis",2008,FRA,05:19.4,35.87,39.1,41.2,41.03,41.32,40.18,41.06,m,Freestyle
"BENSAFIA, Naell",2008,FRA,05:24.2,34.37,38.12,40.71,41.42,42.62,42.23,43.05,m,Freestyle
"GREMEAUX, Gaspard",2009,FRA,05:41.7,38.08,43.72,44.64,43.88,44.2,42.77,42.98,m,Freestyle
"VERVIER, Nathan",2009,FRA,05:42.0,37.52,43.27,43.62,43.51,43.67,43.33,43.72,m,Freestyle
"ROGGIA, Jessy",2009,FRA,05:44.8,37.72,42.44,44.09,44.5,44.72,45.83,46.5,m,Freestyle
"GUENNOC-JUDAS, Ewen",2009,FRA,05:59.1,39.14,44.33,45.71,46.58,45.92,46.97,46.18,m,Freestyle
"POSTAL, Adrien",2004,FRA,04:23.9,29.23,32.72,33.25,33.65,33.75,34.38,34.02,m,Freestyle
"JOLY, Mathieu",2005,FRA,04:27.5,29.55,32.64,33.65,34.39,34.52,35.38,33.97,m,Freestyle
"BRENOT, Victor",2005,FRA,04:28.3,29.6,32.79,33.7,34.53,34.53,35.25,34.56,m,Freestyle
"LOPEZ, Thibaut",2007,FRA,04:30.9,30.23,33.79,34.41,35.12,34.61,35.11,34.03,m,Freestyle
"CUENIN, Lucas",2004,FRA,04:32.5,28.99,33.04,33.59,36.11,35.95,36.56,36.09,m,Freestyle
"CHAUVIN, Titouan",2003,FRA,04:33.0,29.29,32.92,33.85,35.22,35.16,36,35.77,m,Freestyle
"POSTAL, Pierre",2004,FRA,04:38.0,30.34,33.95,35.29,35.25,36.06,36.2,36.94,m,Freestyle
"OUDOT, Charles",2005,FRA,04:38.3,31.29,34.15,35.47,35.59,36.11,35.96,36.06,m,Freestyle
"GILLET, Dorian",2005,FRA,04:47.2,32.39,35.72,36.28,36.47,36.46,36.34,36.5,m,Freestyle
"SERIN, Timothee",2007,FRA,04:59.5,33.93,36.55,37.86,37.84,38.62,37.97,38.52,m,Freestyle
"BAYRAT, Ethan",2006,FRA,05:01.3,33.16,37.63,37.77,38.64,38.55,38.88,38.12,m,Freestyle
"RABIAN--MACHIN, Swan",2007,FRA,05:37.7,34.28,40.29,43.51,42.99,44.52,43.86,44.95,m,Freestyle
"GUENNOC-JUDAS, Ewen",2009,FRA,05:56.4,39.03,43.92,44.92,45.19,45.81,45.67,45.81,m,Freestyle
"GILLET, Dorian",2005,FRA,04:49.3,32.31,35.94,36.33,36.7,37.42,36.23,37.36,m,Freestyle
"MAILLOT, Nicolas",2005,FRA,05:00.0,33.43,36.78,37.76,38.16,38.46,38.11,38.88,m,Freestyle
"GAUTHIER, Jeanne-Lise",2008,FRA,04:54.3,32.93,36.98,37.52,37.93,37.44,37.94,38.44,f,Freestyle
"HAEGY-BEGRAND, Maya",2007,FRA,04:56.9,32.33,36.55,38.02,38.98,38.18,38.17,37.85,f,Freestyle
"BARAN, Anna",2006,FRA,04:57.3,33.22,36.66,37.96,37.93,38.57,38.22,38.39,f,Freestyle
"WENGER, Margaux",2005,FRA,04:57.7,33.23,36.75,37.18,38.17,38.21,38.53,38.45,f,Freestyle
"TSCHENN, Zelie",2004,FRA,04:59.8,33.4,37.4,38.37,38.49,38.84,38.96,38.53,f,Freestyle
"GAUTHIER, Marie-Emerence",2006,FRA,05:04.8,33.17,37.99,38.56,39.05,38.95,39.9,39.02,f,Freestyle
